experiment_id,stage,dataset,generator,parser,baseline_or_method,config_path,output_dir,requires_gpu,status,actually_run,key_result,result_path,notes
EXP-DRAFT-SELFBUILT-CSR,claimed_in_draft,self-built-50,SDXL,Qwen2.5-VL-7B,SDXL Mean vs CSR-Select,,,yes,Claimed in draft,false,CSR-All 0.5865 -> 0.7456,,No raw data/scripts found on Desktop
EXP-DRAFT-SELFBUILT-CLIP,claimed_in_draft,self-built-50,SDXL,Qwen2.5-VL-7B,Fixed Seed-0 / CLIPScore / CSR-Select,,,yes,Claimed in draft,false,Fixed 0.5499; CLIP 0.6201; CSR 0.7456,,No raw data/scripts found on Desktop
EXP-DRAFT-BESTOFN,claimed_in_draft,self-built-50,SDXL,Qwen2.5-VL-7B,Best-of-N,,,yes,Claimed in draft,false,Best-of-1 0.5499; Best-of-4 0.7456,,No raw data/scripts found on Desktop
EXP-DRAFT-GENEVAL-CSR,claimed_in_draft,GenEval-553,SDXL,Qwen2.5-VL-7B,SDXL Mean vs CSR-Select,,,yes,Claimed in draft,false,CSR-All 0.6363 -> 0.7821,,No raw data/scripts found on Desktop
EXP-DRAFT-GENEVAL-OFFICIAL,claimed_in_draft,GenEval-553,SDXL,GenEval official evaluator,Fixed Seed-0 vs CSR-Select,,,yes,Claimed in draft,false,Overall 0.53885 -> 0.62232,,No raw data/scripts found on Desktop
EXP-SMOKE-001,planned,self-built-5,SDXL,Qwen2.5-VL-7B,Fixed Seed-0 / CLIPScore / CSR-Select,configs/experiments/smoke_sdxl_qwen.json,outputs/smoke,yes,Pending,false,,,Requires AutoDL GPU approval
EXP-CPU-CSR-UNIT,planned,synthetic-json,none,none,CSR scoring unit test,,outputs/scores,no,Pending,false,,,Can run locally after unit fixture is added
EXP-FOUND-FLUX-GENEVAL,found_existing_artifact,GenEval-553,FLUX.1-schnell,Qwen2.5-VL-7B-Instruct,All candidates mean vs CSR-Select Best-of-4,/root/autodl-tmp/projects/SCAlign/scripts/28-31*,/root/autodl-tmp/projects/SCAlign/outputs/flux/geneval,yes,Found artifacts,false,CSR-All 0.6749547920 -> 0.7879746835; gain 0.1130198915,server_audits/server_001/outputs/flux/geneval/sc_select_summary.json,Found on server_001; not rerun in this session
EXP-FOUND-GENEVAL-OFFICIAL,found_existing_artifact,GenEval-553,SDXL,GenEval official evaluator,Fixed Seed-0 vs SC-Select,/root/autodl-tmp/projects/SCAlign/benchmarks/geneval/evaluation,/root/autodl-tmp/projects/SCAlign/outputs/geneval/official_results,yes,Found artifacts,false,Overall 0.53885 -> 0.62232; gain 0.08347,server_audits/server_002/paper_assets/tables/geneval_official_result.md,Found on server_002; official evaluator result files pulled locally
EXP-FOUND-SELFBUILT-50,found_existing_artifact,self-built-50,SDXL,Qwen2.5-VL-7B-Instruct,All candidates mean vs CSR-Select Best-of-4,/root/autodl-tmp/projects/SCAlign/scripts/02-19*,/root/autodl-tmp/projects/SCAlign/outputs,yes,Found artifacts,false,CSR-All 0.5865 -> 0.7456; gain 0.1592,server_audits/server_004/paper_assets/tables/main_result.md,Found on server_004; source data/scripts/summaries pulled locally
EXP-FOUND-VQA-GENEVAL,found_existing_artifact,GenEval-553,SDXL,Qwen2.5-VL-7B-Instruct,VQA-Select vs CSR-Select,/root/autodl-tmp/projects/SCAlign/scripts/27_vqa_select_baseline.py,/root/autodl-tmp/projects/SCAlign/outputs/vqa_select,yes,Found artifacts,false,VQA-Select CSR-All 0.6835; CSR-Select 0.7821,server_audits/server_004/paper_assets/tables/vqa_select_result.md,Found on server_004
EXP-LOCAL-BASELINES-SELF50,local_consolidation,self-built-50,SDXL,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / Random / CSR-Select,scripts/07_run_baselines.py,outputs/selections/self_built_50,no,Completed,true,Fixed Seed-0 0.5499; random mean 0.5940; CSR-Select 0.7456,outputs/selections/self_built_50/baseline_summary.csv,CPU-only selection over existing CSR score JSONL; no image model loaded
EXP-LOCAL-BASELINES-FLUX-GENEVAL,local_consolidation,GenEval-553,FLUX.1-schnell,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / Random / CSR-Select,scripts/07_run_baselines.py,outputs/selections/geneval_flux,no,Completed,true,Fixed Seed-0 0.6650; random mean 0.6809; CSR-Select 0.7880,outputs/selections/geneval_flux/baseline_summary.csv,CPU-only selection over existing CSR score JSONL; no image model loaded
EXP-LOCAL-STATS-SELF50,local_consolidation,self-built-50,SDXL,Qwen2.5-VL-7B-Instruct,CSR-Select vs Fixed Seed-0,scripts/08_bootstrap_stats.py,outputs/tables,no,Completed,true,"Mean CSR-All diff 0.1957; 95% CI [0.1389, 0.2596]; p=7.45e-09",outputs/tables/statistical_significance_self_built_50.csv,Paired bootstrap plus sign test from selected JSONL
